data,torneo,home,away,elo_h,elo_a,gol_home,gol_away,match_confidence,match_note
26/11/2024,uk - championship,hull,sheffield wednesday,2028.11,1995.3,0,2,media,rating diverso di 57.5 punti (plausibile pre/post match)
28/11/2024,colombia - primera a,deportes tolima,america de cali,1887.83,1785.25,,,n/d,nessuna partita con quella data sulla pagina
28/11/2024,brasile - serie a,cruzeiro,gremio,1974.66,1867.45,,,n/d,nessuna partita con quella data sulla pagina
29/11/2024,uk - championship,sheffield united,sunderland,2129.77,2024.85,1,0,bassa,rating diverso di 62.5 punti totali - verificare a mano
30/11/2024,spagna - segunda division,cadice,deportivo la coruna,1966.56,1873.63,,,n/d,data giusta ma nessun avversario simile a 'deportivo la coruna'
30/11/2024,egitto - 1 divisione,ceramica cleopatra,modern sport fc,1818.5,1780.48,,,n/d,data giusta ma nessun avversario simile a 'modern sport fc'
30/11/2024,italia - serie b,sampdoria,catanzaro,1950.74,1834.84,3,3,bassa,rating diverso di 77.1 punti totali - verificare a mano
1/12/2024,grecia - superleague 2,ilioupoli,aek atene b,1621.25,1505.23,,,n/d,nessuna partita con quella data sulla pagina
1/12/2024,danimarca - superligaen,lyngby,sonderjyske,1929.51,1902.74,0,2,media,rating diverso di 34.6 punti (plausibile pre/post match)
1/12/2024,Italia - serie b,pisa,Cosenza,1934.95,1830.04,2,2,media,rating diverso di 50.4 punti (plausibile pre/post match)
1/12/2024,marocco - gnf 2,kac kenitra,chabab atlas khenifra,1547.86,1459.96,,,n/d,data giusta ma nessun avversario simile a 'chabab atlas khenifra'
1/12/2024,brasile - serie a,gremio,san paolo,1940.61,1888.44,,,n/d,nessuna partita con quella data sulla pagina
1/12/2024,Marocco - gnf 1,mas fes,renaissance zemamra,1725.75,1651.31,,,n/d,nessuna partita con quella data sulla pagina
2/12/2024,algeria - 1 divisione,js saoura,js kabylie,1835.61,1765.18,,,n/d,data giusta ma nessun avversario simile a 'js kabylie'
2/12/2024,argentina - liga profesional,ca talleres de cordoba,huracan,1936.85,1790.41,,,n/d,data giusta ma nessun avversario simile a 'huracan'
3/12/2024,uk - league 2,walsall,notts county,1915.67,1832.96,,,n/d,nessuna partita con quella data sulla pagina
5/12/2024,honduras - lega nazionale,genesis de comayagua,real espana,1611.94,1578.42,,,n/d,nessuna partita con quella data sulla pagina
5/12/2024,campionato d'iraq,al talaba,al karkh,1688.24,1566.03,,,n/d,nessuna partita con quella data sulla pagina
6/12/2024,brasile - serie a,athletico paranaense,bragantino,1946.67,1862.02,,,n/d,data giusta ma nessun avversario simile a 'bragantino'
6/12/2024,germania - bundesliga 2,elversberg,norimberga,2057.21,2033.56,,,n/d,data giusta ma nessun avversario simile a 'norimberga'
6/12/2024,marocco - gnf 1,fus rabat,difaa el jadida,1818.03,1697.62,,,n/d,data giusta ma nessun avversario simile a 'difaa el jadida'
6/12/2024,italia - serie c,trento,novara,1580.07,1535.11,,,n/d,data giusta ma nessun avversario simile a 'novara'
7/12/2024,portogallo - segunda liga,cd feirense,penafiel,1751.78,1724.47,,,n/d,data giusta ma nessun avversario simile a 'penafiel'
7/12/2024,uk - league 2,crewe,bradford,1869.13,1797.36,,,n/d,data giusta ma nessun avversario simile a 'bradford'
7/12/2024,uk - championship,luton,swansea,2065.13,2013.27,1,1,media,rating diverso di 35.5 punti (plausibile pre/post match)
7/12/2024,italia - serie c,us pergolettese,renate,1539.0,1489.02,,,n/d,data giusta ma nessun avversario simile a 'renate'
7/12/2024,italia - serie c,acr messina,foggia,1559.13,1512.95,,,n/d,data giusta ma nessun avversario simile a 'foggia'
8/12/2024,polonia - ekstraklasa,piast gliwice,cracovia krakow,1940.89,1934.34,0,0,media,rating diverso di 35.6 punti (plausibile pre/post match)
8/12/2024,norvegia - eliteserien,haugesund,moss,1899.57,1756.48,2,0,bassa,rating diverso di 105.4 punti totali - verificare a mano
8/12/2024,italia - serie b,catanzaro,brescia,1850.76,1818.5,2,1,media,rating diverso di 20.4 punti (plausibile pre/post match)
8/12/2024,cechia - 1 liga,slovan liberec,fk teplice,1968.73,1843.81,3,0,media,rating diverso di 58.5 punti (plausibile pre/post match)
8/12/2024,marocco - gnf 2,oc khouribga,waf widad fes,1532.94,1463.86,,,n/d,data giusta ma nessun avversario simile a 'waf widad fes'
8/12/2024,spagna - la liga,osasuna,alaves,2176.21,2099.46,2,2,bassa,rating diverso di 107.7 punti totali - verificare a mano
8/12/2024,spagna - segunda division,burgos,eldense,1893.22,1784.61,1,0,bassa,rating diverso di 116.5 punti totali - verificare a mano
8/12/2024,grecia - superleague 1,lamia,panetolikos,1845.02,1777.11,,,n/d,nessuna partita con quella data sulla pagina
9/12/2024,argentina - liga profesional,argentinos jrs,san lorenzo,1901.65,1756.36,,,n/d,data giusta ma nessun avversario simile a 'san lorenzo'
9/12/2024,italia - serie c,perugia,campobasso,1625.62,1578.56,,,n/d,nessuna partita con quella data sulla pagina
11/12/24,uk - championship,hull,watford,2013.46,1978.74,1,1,bassa,rating diverso di 62.9 punti totali - verificare a mano
11/12/24,uk - championship,qpr,oxford utd,1949.24,1824.43,,,n/d,nessuna partita con quella data sulla pagina
13/12/24,uk - championship,derby,portsmouth,2005.43,1900.52,4,0,media,rating diverso di 44.2 punti (plausibile pre/post match)
14/12/24,uk - league 1,huddersfield,lincoln city,2074.2,1923.64,2,2,media,rating diverso di 48.8 punti (plausibile pre/post match)
14/12/24,uk - league 2,afc wimbledon,doncaster,1915.07,1905.15,1,0,media,rating diverso di 52.7 punti (plausibile pre/post match)
14/12/24,scozia - championship,airdrieonians,morton,1598.02,1580.46,,,n/d,nessuna partita con quella data sulla pagina
14/12/24,scozia - premiership,motherwell,dundee utd,1840.5,1805.45,4,3,bassa,rating diverso di 78.3 punti totali - verificare a mano
14/12/24,spagna - segunda division,cadiz,albacete balompie,1930.98,1875.3,,,n/d,data giusta ma nessun avversario simile a 'albacete balompie'
14/12/24,spagna - segunda division,eibar,real Saragozza,1928.34,1883.87,2,1,bassa,rating diverso di 93.5 punti totali - verificare a mano
14/12/24,Romania - liga 1,universitatea cluji,petorlul ploiesti,1986.96,1857.63,4,1,media,rating diverso di 41.7 punti (plausibile pre/post match)
15/12/24,indonesia - liga 1,bali united,persija jakarta,1788.99,1695.06,,,n/d,data giusta ma nessun avversario simile a 'persija jakarta'
16/12/24,indonesia - liga 1,persik kediri,arema fc,1705.43,1689.33,,,n/d,nessuna partita con quella data sulla pagina
20/12/24,germania - bundesliga 2,fortuna dusseldorf,magdeburg,2109.07,2035.89,2,5,media,rating diverso di 37.2 punti (plausibile pre/post match)
20/12/24,italia - serie b,salernitana,brescia,1882.66,1810.89,,,n/d,nessuna partita con quella data sulla pagina
20/12/24,italia - serie c,lucchese,pineto,1581.2,1498.49,,,n/d,data giusta ma nessun avversario simile a 'pineto'
20/12/24,uk - league 2,crewe,colchester,1853.35,1764.61,,,n/d,nessuna partita con quella data sulla pagina
21/12/24,uk - league 2,barrow,fleetwood town,1884.6,1828.92,,,n/d,nessuna partita con quella data sulla pagina
21/12/24,italia - serie c,renate,pro patria,1519.07,1479.57,,,n/d,nessuna partita con quella data sulla pagina
21/12/24,marocco - gnf 1,ittihad tanger,difaa el jadida,1754.6,1727.29,,,n/d,nessuna partita con quella data sulla pagina
21/12/24,uk - league 1,barnsley,leyton orient,2015.64,1927.75,0,4,media,rating diverso di 30.3 punti (plausibile pre/post match)
22/12/24,romania - liga 1,petrolul ploiest,fc unirea 2004 slobozia,1873.63,1751.47,2,1,media,rating diverso di 33.6 punti (plausibile pre/post match)
22/12/24,costa rica - primera division,herediano,alajuelense,1779.31,1772.36,,,n/d,data giusta ma nessun avversario simile a 'alajuelense'
22/12/24,italia - serie b,frosinone,salernitana,1850.43,1768.6,,,n/d,data giusta ma nessun avversario simile a 'salernitana'
22/12/24,uk - league 1,rotherham,wigan,1947.63,1841.91,,,n/d,data giusta ma nessun avversario simile a 'wigan'
22/12/24,uk - league 1,wrexham,blackpool,2007.98,1884.83,,,n/d,data giusta ma nessun avversario simile a 'blackpool'
22/12/24,portogallo - segunda liga,mafra,feirense,1752.75,1715.51,,,n/d,nessuna partita con quella data sulla pagina
2/1/25,uk - league 2,gillingham,bromley,1823.08,1767.74,,,n/d,nessuna partita con quella data sulla pagina
4/1/25,uk - league 1,lincoln city,stevenage,1985.39,1891.09,0,0,media,rating diverso di 34.5 punti (plausibile pre/post match)
5/1/25,italia - serie c,spal,perugia,1597.97,1580.76,,,n/d,nessuna partita con quella data sulla pagina
5/1/25,grecia - superleague 1,levadiakos,panserraikos,1880.52,1791.79,1,0,media,rating diverso di 59.1 punti (plausibile pre/post match)
5/1/25,italia - serie c,torres,pescara,1735.42,1701.24,,,n/d,data giusta ma nessun avversario simile a 'pescara'
5/1/25,portogallo - segunda liga,torreense,cd mafra,1818.12,1738.06,1,0,media,rating diverso di 43.6 punti (plausibile pre/post match)
5/1/25,portogallo - segunda liga,pacos ferreira,academico viseu,1791.2,1773.99,,,n/d,data giusta ma nessun avversario simile a 'academico viseu'
5/1/25,italia - serie a,roma,lazio,2292.79,2267.01,2,0,media,rating diverso di 40.5 punti (plausibile pre/post match)
5/1/25,portogallo - primera liga,estrela amadora,estoril,1940.7,1880.63,,,n/d,data giusta ma nessun avversario simile a 'estoril'
8/1/25,uk - national league south,wellin,weymouth,1580.62,1504.75,,,n/d,nessuna partita con quella data sulla pagina
8/1/25,uk - npl premier division,united of manchester,warrington,1535.11,1522.39,,,n/d,nessuna partita con quella data sulla pagina
11/1/25,italia - serie c,giana erminio,pro vercelli,1571.82,1494.47,,,n/d,nessuna partita con quella data sulla pagina
12/1/25,messico - segunda division,racing de veracruz,pioneros de cancun,1597.66,1516.01,,,n/d,data giusta ma nessun avversario simile a 'pioneros de cancun'
12/1/25,italia - serie a,genoa,parma,2101.94,1985.93,1,0,bassa,rating diverso di 72.4 punti totali - verificare a mano
12/1/25,cameron - elite one,canon de yaounde,cotonsport,1741.37,1708.49,,,n/d,data giusta ma nessun avversario simile a 'cotonsport'
12/1/25,italia - serie b,palermo,modena,1965.11,1853.39,2,0,bassa,rating diverso di 85.3 punti totali - verificare a mano
12/1/25,cameron - elite one,colombe du dja et lobo,bamboutos de mbouda,1715.39,1590.87,,,n/d,nessuna partita con quella data sulla pagina
12/1/25,marocco - gnf 2,usm oujda,wydad fes,1570.65,1455.26,,,n/d,nessuna partita con quella data sulla pagina
12/1/25,belgio - prima divisione A,cercle bruges,kv mechelen,2028.13,1980.01,1,0,bassa,rating diverso di 82.3 punti totali - verificare a mano
12/1/25,giamaica - premier league,waterhouse,tivoli gardens,1559.9,1497.93,,,n/d,nessuna partita con quella data sulla pagina
17/1/25,messico - liga de expansion,correcaminos,tlaxcala fc,1539.44,1501.44,,,n/d,data giusta ma nessun avversario simile a 'tlaxcala fc'
17/1/25,italia - serie b,sampdoria,cesena,1897.53,1820.78,1,2,bassa,rating diverso di 78.3 punti totali - verificare a mano
18/1/25,germania - bundesliga 2,kaiserslautern,ssv ulm 1846,2036.74,1943.81,2,1,media,rating diverso di 28.7 punti (plausibile pre/post match)
18/1/25,germania - 3 liga,wehen sv,verl,1913.73,1907.04,,,n/d,data giusta ma nessun avversario simile a 'verl'
18/1/25,portogallo - segunda liga,cd feirense,torreense,1789.0,1765.35,,,n/d,nessuna partita con quella data sulla pagina
18/1/25,spagna - segunda division,eibar,Albacete balompie,1975.79,1868.58,1,1,bassa,rating diverso di 105.5 punti totali - verificare a mano
18/1/25,francia - national,bourg-peronnas,sochaux,1646.36,1625.89,,,n/d,data giusta ma nessun avversario simile a 'sochaux'
