data,torneo,home,away,elo_h,elo_a
22/4/25,brasile - serie c,abc,csa,1715.21,1631.51
22/4/25,brasile - serie c,tombense,figueirense,1748.62,1664.91
22/4/25,colombia - primera a,deportivo pasto,aguilas doradas,1759.95,1629.31
22/4/25,belgio - prima divisione a,standard liegi,oh leuven,1966.33,1899.79
23/4/25,paraguay - divisione intermedia,encarnacion fc,resistencia fc,1512.55,1498.91
23/4/25,cina - 1 divisione,Shijiazhuang Gongfu FC,Suzhou Dongwu,1630.51,1601.22
23/4/25,italia - serie c,campobasso,perugia,1594.55,1564.12
23/4/25,italia - serie c,pontedera,rimini,1597.46,1525.62
23/4/25,Polonia - liga 1,odra opole,stal rzeszow,1646.04,1629.42
23/4/25,marocco - gnf 2,kac kenitra,youssoufia berrechid,1580.55,1471.35
26/4/25,argentina - torneo a,san martin de mendoza,huracan las heras,1536.66,1420.64
26/4/25,Cile - liga de primera,universidad catolica,everton de vina,1679.29,1577.18
26/4/25,polonia - ekstraklasa,lechia gdansk,piast gliwice,1930.04,1864.94
26/4/25,slovenia - prva liga,nk domzale,nd primorje,1715.52,1642.34
26/4/25,romania - liga I,afc hermannstadt,uta arad,1871.1,1750.69
27/4/25,brasile - serie c,csa,nautico,1699.82,1624.9
27/4/25,brasile - serie a,botafogo,fluminense,2053.04,1866.45
27/4/25,el salvador - clausura,alianza fc san salvador,ad isidro Metapan,1649.58,1556.65
27/4/25,messico - segunda division,irapuato,alacranes de durango,1703.29,1647.61
27/4/25,honduras - lega nazionale,motagua,real espana,1729.91,1645.56
27/4/25,Cina - 2 divisione,taian tiankuang,Lanzhou longyuan athletic,1267.42,1149.73
27/4/25,Argentina - nacional b,temperley,estidiantes rio cuarto,1668.08,1621.69
28/4/25,serbia - super liga,fk zelenicar pancevo,radnicki nis,1713.38,1641.54
29/4/25,argentina - liga profesional,estudiantes lp,ca tigre,1933.44,1817.32
30/4/25,argentina - primera b metropolitana,sportivo italiano,cs dock sud,1548.27,1426.02
1/5/25,colombia - primera b,real cartagena,atletico huila,1635.56,1580.6
1/5/25,Austria - landesliga,usk anif,salzburger ak,1408.18,1321.63
3/5/25,colombia - primera a,la equidad,alianza,1719.3,1598.88
3/5/25,costa rica - primera division,sporting san jose,ad san carlos,1650.52,1559.12
3/5/25,Bulgaria - parva liga,cherno more varna,arda kardzhali,1941.92,1828.67
6/5/25,Argentina - nacional b,defensores de belgrano,club atletico mitre,1682.09,1540.72
7/5/25,kuwait - division 1,burgan sc,salibikhaet sc,1401.8,1342.76
7/5/25,marocco - gnf 2,wydad fes,stade marocain du rabat,1514.04,1479.75
9/5/25,turchia - super lig,gaziantep fk,alanyaspor,1967.43,1940.13
10/5/25,australia - a league,Western Sydney ,Melbourne victory,1932.78,1887.81
10/5/25,grecia - superleague 1,levadiakos,athens kallithea,1909.8,1850.79
11/5/25,Indonesia - liga 1,arema fc,persik kediri,1685.56,1636.59
11/5/25,cina - 2 divisione,guangxi hengchen,wenzhou fc,1482.39,1366.38
11/5/25,kuwait - campionato,al qadsia sc,al fahaheel sc,1679.05,1585.79
11/5/25,croazia - hnl,istra 1961,nk varazdin,1917.49,1805.56
12/5/25,eau - premier league,baniyas sc,khor fakkan,1679.37,1654.25
15/5/25,panama - lpf,Ca independiente de la chorrera,Tauro fc,1621.03,1583.78
17/5/25,portogallo - segunda liga,FC porto b,Benfica b,1778.85,1757.56
17/5/25,germania - lega 3,vfl osnabruck,verl,1961.79,1899.83
17/5/25,romania - liga 1,fcsb,cs u craiova,2083.79,2039.7
18/5/25,corea del sud - k-league 1,suwon fc,daejeon hana citizen,1838.65,1831.97
18/5/25,kenia - premier league,shabana fc,mara sugar fc,1665.35,1577.46
18/5/25,danimarca - 2 divisione,fremad amager,middelfart,1721.3,1693.45
14/6/25,brasile - serie b,paysandu,botafogo sp,1762.63,1673.9
22/6/25,cina - 1 divisione,nanjing city,qingdao red lions,1559.09,1443.32
28/6/25,svezia - 1 divisione norra,ifk haninge,assyriska foreningen,1690.74,1651.17
28/6/25,brasile - campeonato carioca a2,olaria,perolas negras,1630.63,1522.34
28/6/25,brasile - campeonato carioca a3,duque de caxias fc,americano rj,1655.12,1623.09
28/6/25,brasile - campeonato carioca a4,bangu,cabofriense,1589.87,1547.45
28/6/25,brasile - campeonato carioca a5,america rj,sao goncalo ec,1670.35,1534.9
28/6/25,brasile - serie c,maringa,ponte preta,1816.9,1719.69
30/6/25,ecuador - ligapro serie a,macara,emelec,1722.71,1663.13
16/08/25,uk - championship,watford,qpr,1911.25,1804.39
17/8/25,Romania - liga II,cs concordia chiajna,csm ceahlaul piatra neamt,1673.36,1586.37
5/8/25,Polonia - liga II,rekord bielsko-biala,warta Poznan,1562.78,1496.64
23/8/25,Romania - liga II,csm ceahlaul piatra neamt,cs dinamo bucuresti,1748.55,1597.65
23/8/25,Indonesia - liga 1,persija jakarta,malut united fc,1746.95,1659.12
23/8/25,Germania - regionalliga,mainz II,stuttgarter kickers,1795.43,1756.67
23/8/25,Austria - 2 liga,Austria klagenfurt,sw bregenz,1770.39,1659.63
23/8/25,portogallo - segunda liga,torreense,academico viseu,1789.3,1716.13
23/8/25,qatar - stars league,umm salal,al-shahaniya sc,1607.32,1589.02
24/8/25,messico - liga mx,cruz azul,toluca,1984.91,1907.55
24/8/25,Bulgaria - parva liga,dobrudzha 1919 dobrich,botev vratsa,1689.63,1623.09
30/08/25,uk - league two,barrow,fleetwood town,1814.99,1755.41
30/08/25,germania - lega 3,cottbus,fc ingolstadt,1922.74,1874.74
30/08/25,portogallo - segunda liga,felgueiras 1932,lusitania lourosa,1781.41,1713.75
30/08/25,svezia - superettan,sandvikens if,orebro sk,1862.82,1747.16
30/08/25,uk - league 2,tranmere,notts county,1866.95,1811.27
30/08/25,uk - league 2,shrewsbury,accrington stanley,1747.57,1695.71
30/08/25,uk - league 1,exeter,peterborough,1862.69,1803.11
30/08/25,uk - championship,millwall,wrexham,2036.04,1947.3
30/08/25,croazia - 2 hnl,karlovac,nk croatia zmijavci,1521.54,1408.48
30/08/25,argentina - primera b italiana,real pilar,sportivo italiano,1593.23,1517.6
30/08/25,messico - liga de expansion,atletico morelia,mineros de zacatecas,1696.29,1661.39
31/08/25,Cina - 2 divisione,wuxi wugo,Shenzhen 2028,1548.32,1444.47
31/08/25,portogallo - segunda liga,Sporting b,pacos ferreira,1779.08,1668.06
31/08/25,Italia - serie c,arzignano valchiampo,Virtus verona,1665.53,1559.02
31/08/25,Italia - serie c,pianese,carpi,1540.69,1485.73
31/08/25,costa rica - segunda,futbol consultants desamparados,fc aserri,1508.09,1440.44
31/08/25,el salvador - clausura,cd hercules,cd cacahuatique,1512.73,1478.56
1/9/25,panama - lpf,umecit,sd atletico nacional,1509.74,1454.79
1/9/25,Bulgaria - vtora liga,marek dupnica,pfc minyor pernik,1497.88,1277.87
1/9/25,Argentina - nacional b,agropecuario,almirante brown,1642.86,1540.29
1/9/25,spagna - segunda liga,leganes,deportivo la coruna,1990.19,1930.61
2/9/25,cile - primera b,universidad de concepcion,deportes recoleta,1579.08,1482.51
2/9/25,Argentina - nacional b,ferro carril oeste,racing de cordoba,1648.04,1603.58
12/9/25,spagna - segunda division,las palmas,real sociedad b,1940.58,1712.84
12/9/25,francia - ligue 2,troyes,nancy,1882.95,1803.33
12/9/25,irlanda - premier division,bohemians dublin,derry city,1893.01,1809.31
12/9/25,portogallo - liga 3,varzim,usc paredes,1669.03,1624.94
12/9/25,portogallo - primera liga,alverca,cd tondela,1977.57,1935.15
13/9/25,indonesia - liga 1,persis solo,persijap jepara,1653.61,1585.95
13/9/25,cechia - 1 liga,banik ostrava,slovan liberec,1960.29,1887.12
13/9/25,cechia - 1 liga,fc zlin,dukla praga,1854.63,1793.45
13/9/25,italia - serie a,cagliari,parma,2118.25,2059.29
13/9/25,uk - league 2,oldham,bromley,1810.4,1783.62
13/9/25,portogallo - liga 3,cd trofense,ad fafe,1676.6,1625.64
13/9/25,portogallo - liga 3,guimaraes b,braga b,1619.66,1595.05
14/9/25,brasile - serie a,fluminense,corinthians,2016.62,1901.16
14/9/25,francia - ligue 1,metz,angers,1976.33,1915.15
14/9/25,argentina - torneo a,ca 9 de julio rafaela,ca douglas haig,1577.08,1470.22
14/9/25,argentina - torneo a,argentino mm ,biblioteca atenas,1568.5,1474.86
14/9/25,argentina - torneo a,cipolletti,olimpo bahia blanca,1619.93,1577.5
14/9/25,argentina - nacional b,patronato parana,quilmes,1652.89,1558.59
14/9/25,spagna - segunda division,granada,leganes,1976.15,1929.5
14/9/25,,san franciso fc,sporting san miguelito,1580.94,1513.29
14/9/25,,mazatlan fc,atlas,1754.09,1704.12
