data,torneo,home,away,elo_h,elo_a
11/12/24,uk - championship,qpr,oxford utd,1949.24,1824.43
13/12/24,uk - championship,derby,portsmouth,2005.43,1900.52
14/12/24,uk - league 1,huddersfield,lincoln city,2074.2,1923.64
14/12/24,uk - league 2,afc wimbledon,doncaster,1915.07,1905.15
14/12/24,scozia - championship,airdrieonians,morton,1598.02,1580.46
14/12/24,scozia - premiership,motherwell,dundee utd,1840.5,1805.45
14/12/24,spagna - segunda division,cadiz,albacete balompie,1930.98,1875.3
14/12/24,spagna - segunda division,eibar,real Saragozza,1928.34,1883.87
14/12/24,Romania - liga 1,universitatea cluji,petorlul ploiesti,1986.96,1857.63
15/12/24,indonesia - liga 1,bali united,persija jakarta,1788.99,1695.06
16/12/24,indonesia - liga 1,persik kediri,arema fc,1705.43,1689.33
20/12/24,germania - bundesliga 2,fortuna dusseldorf,magdeburg,2109.07,2035.89
20/12/24,italia - serie b,salernitana,brescia,1882.66,1810.89
20/12/24,italia - serie c,lucchese,pineto,1581.2,1498.49
20/12/24,uk - league 2,crewe,colchester,1853.35,1764.61
21/12/24,uk - league 2,barrow,fleetwood town,1884.6,1828.92
21/12/24,italia - serie c,renate,pro patria,1519.07,1479.57
21/12/24,marocco - gnf 1,ittihad tanger,difaa el jadida,1754.6,1727.29
21/12/24,uk - league 1,barnsley,leyton orient,2015.64,1927.75
22/12/24,romania - liga 1,petrolul ploiest,fc unirea 2004 slobozia,1873.63,1751.47
22/12/24,costa rica - primera division,herediano,alajuelense,1779.31,1772.36
22/12/24,italia - serie b,frosinone,salernitana,1850.43,1768.6
22/12/24,uk - league 1,rotherham,wigan,1947.63,1841.91
22/12/24,uk - league 1,wrexham,blackpool,2007.98,1884.83
22/12/24,portogallo - segunda liga,mafra,feirense,1752.75,1715.51
2/1/25,uk - league 2,gillingham,bromley,1823.08,1767.74
4/1/25,uk - league 1,lincoln city,stevenage,1985.39,1891.09
5/1/25,italia - serie c,spal,perugia,1597.97,1580.76
5/1/25,grecia - superleague 1,levadiakos,panserraikos,1880.52,1791.79
5/1/25,italia - serie c,torres,pescara,1735.42,1701.24
5/1/25,portogallo - segunda liga,torreense,cd mafra,1818.12,1738.06
5/1/25,portogallo - segunda liga,pacos ferreira,academico viseu,1791.2,1773.99
5/1/25,italia - serie a,roma,lazio,2292.79,2267.01
5/1/25,portogallo - primera liga,estrela amadora,estoril,1940.7,1880.63
8/1/25,uk - national league south,wellin,weymouth,1580.62,1504.75
